"gene","covid_log2FC","covid_padj","covid_direction","virus_log2FC","virus_padj","virus_direction","shared_direction"
"SLC3A1",-4.07299711052511,6.18177539718126e-08,"Down",-6.15787092023021,2.29271229366132e-05,"Down","Shared Down"
"RPL23AP53",-2.09890265405704,6.3102406132873e-08,"Down",-4.4358983569787,1.74513020807847e-05,"Down","Shared Down"
"TMEM165",-1.46622362239782,6.79842013233069e-08,"Down",-3.6188957532167,5.73815366791436e-10,"Down","Shared Down"
"KCTD1",-1.56894782173743,8.05625935720745e-08,"Down",-3.90951849809967,1.11811509043442e-08,"Down","Shared Down"
"PXMP4",-2.11955123893736,8.31613820275413e-08,"Down",-3.54892042418587,6.7822134318681e-05,"Down","Shared Down"
"HADHA",-1.73284324604007,8.53662577590102e-08,"Down",-3.8148899863518,3.47453995928514e-07,"Down","Shared Down"
"BCL7B",-1.42460024085716,1.01453215205767e-07,"Down",-3.67314842798048,1.35609160773771e-07,"Down","Shared Down"
"VARS2",-1.32888663235086,1.50127275693294e-07,"Down",-3.1802522121011,1.71238134160527e-05,"Down","Shared Down"
"MCHR1",-3.50925306764266,1.51224442146355e-07,"Down",-4.94901555878385,2.42144195190796e-05,"Down","Shared Down"
"FAM168B",-1.31089663983762,1.91020802213122e-07,"Down",-3.56145351413743,2.63674242613386e-05,"Down","Shared Down"
"KBTBD6",-2.86479613894265,1.91020802213122e-07,"Down",-4.90965267881681,2.08199964657905e-05,"Down","Shared Down"
"SMPD4",-1.80533650595043,1.97678318358303e-07,"Down",-2.63715998710085,0.00624587785731651,"Down","Shared Down"
"ACSM1",-2.80050187917357,2.31118042893218e-07,"Down",-4.5837312357649,0.000197460868615924,"Down","Shared Down"
"EEF2",-1.03406270801991,2.35527735030792e-07,"Down",-3.40336232974237,5.89441231274097e-12,"Down","Shared Down"
"PCDHGB2",-2.82780718114685,3.42550359219285e-07,"Down",-4.38248955742821,7.93237640601568e-05,"Down","Shared Down"
"ZNF428",-1.46777342879683,3.83551841746361e-07,"Down",-4.03697947004015,1.84306389894172e-07,"Down","Shared Down"
"PRKG1",-3.51341806083708,4.52395045567191e-07,"Down",-4.81594288604687,5.92657829781421e-08,"Down","Shared Down"
"GPI",-1.01930254827278,4.56605142408032e-07,"Down",-3.53655838313802,9.89803765598072e-08,"Down","Shared Down"
"LMNB2",-1.18154234002537,4.56605142408032e-07,"Down",-3.19143269068483,4.32873846024177e-08,"Down","Shared Down"
"LARP6",-2.07028752747371,4.73435714695099e-07,"Down",-3.53885195593438,0.00010373096952465,"Down","Shared Down"
"DNAH2",-1.55325471053128,4.75473740190521e-07,"Down",-2.61808569244776,0.00160564157046265,"Down","Shared Down"
"CCNB1IP1",-2.18383010880612,4.76664683791495e-07,"Down",-4.36238977671513,6.41831115834494e-08,"Down","Shared Down"
"HNRNPAB",-1.00011497138719,4.83381808446469e-07,"Down",-3.03268955364236,1.24320287667854e-07,"Down","Shared Down"
"SLC30A5",-1.54358441673612,5.23438308586588e-07,"Down",-3.6280751531582,9.72732650488772e-06,"Down","Shared Down"
"PKP3",-1.40435291424213,6.71432137630405e-07,"Down",-3.22960273345066,5.08290025639947e-06,"Down","Shared Down"
"SFN",-1.99100921714869,7.61791529059519e-07,"Down",-3.32095133632148,5.48428781182716e-07,"Down","Shared Down"
"CUL9",-1.01212502568072,7.9560671020356e-07,"Down",-3.16156876533574,7.14557938594632e-07,"Down","Shared Down"
"NAGLU",-2.3265991939431,9.35815495124458e-07,"Down",-4.16229941698615,9.83312549040985e-06,"Down","Shared Down"
"RN7SL2",-1.8324075768284,1.0746742315416e-06,"Down",-4.36940746908269,9.46646085617873e-19,"Down","Shared Down"
